Model,ROUGE-1,ROUGE-2,ROUGE-L,Training Time (s),GPU Usage (GB)
bart,0.3987999346389975,0.17464610463659427,0.28804437487879325,9.5367431640625e-07,0
pegasus,0.37390587440434175,0.17328470131153642,0.2823028742798003,0.0,0
t5-base,0.3259391088964861,0.1292522741142921,0.23255492550072074,1.1920928955078125e-06,0
t5-large,0.31133222726034426,0.10270103681706655,0.23731663602488923,1.1920928955078125e-06,0
longt5,0.2559331135501811,0.060130845059173044,0.17889764266631675,0.0,0
primera,0.3096505604020458,0.13206190848469113,0.22802276598691149,1.1920928955078125e-06,0
absformer,0.01184313725490196,0.0,0.00792156862745098,9.5367431640625e-07,0
tg-multisum,0.011613876319758673,0.0,0.007767722473604827,0.0,0
hierarchical,0.040265690081140615,0.0,0.03649210517548024,1.9073486328125e-06,0
dca,0.01184313725490196,0.0,0.00792156862745098,0.0,0
keyword-t5,0.3259391088964861,0.1292522741142921,0.23255492550072074,9.5367431640625e-07,0
